Product,Reactant2,Ligand,Additive,Base,Yield
N-(4-methylphenyl)pyridin-3-amine,3-iodopyridine,"dicyclohexyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","methyl 1,2-oxazole-5-carboxylate","2-tert-butyl-1,1,3,3-tetramethylguanidine",7.473385241
N-(4-ethylphenyl)-4-methylaniline,1-bromo-4-ethylbenzene,"ditert-butyl-[3,6-dimethoxy-2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","ethyl 5-methyl-1,2-oxazole-4-carboxylate","1-methyl-2,3,4,6,7,8-hexahydropyrimido[1,2-a]pyrimidine",45.3883139
N-(4-ethylphenyl)-4-methylaniline,1-bromo-4-ethylbenzene,"ditert-butyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","methyl 1,2-oxazole-5-carboxylate",N-[dimethylamino-ethylimino-[[tris(dimethylamino)-lambda5-phosphanylidene]amino]-lambda5-phosphanyl]-N-methylmethanamine,16.48404533
N-(4-ethylphenyl)-4-methylaniline,1-chloro-4-ethylbenzene,"ditert-butyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","3-methyl-5-phenyl-1,2-oxazole","1-methyl-2,3,4,6,7,8-hexahydropyrimido[1,2-a]pyrimidine",3.864236463
N-(4-ethylphenyl)-4-methylaniline,1-chloro-4-ethylbenzene,"ditert-butyl-[3,6-dimethoxy-2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","methyl 5-thiophen-2-yl-1,2-oxazole-3-carboxylate","1-methyl-2,3,4,6,7,8-hexahydropyrimido[1,2-a]pyrimidine",4.225486824
N-(4-ethylphenyl)-4-methylaniline,1-chloro-4-ethylbenzene,"ditert-butyl-[3,6-dimethoxy-2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane",c1ccc(CN(Cc2ccccc2)c2ccon2)cc1,"1-methyl-2,3,4,6,7,8-hexahydropyrimido[1,2-a]pyrimidine",12.64243358
N-(4-ethylphenyl)-4-methylaniline,1-ethyl-4-iodobenzene,"bis(1-adamantyl)-[3,6-dimethoxy-2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","ethyl 1,2-oxazole-4-carboxylate",N-[dimethylamino-ethylimino-[[tris(dimethylamino)-lambda5-phosphanylidene]amino]-lambda5-phosphanyl]-N-methylmethanamine,6.931862367
N-(4-ethylphenyl)-4-methylaniline,1-ethyl-4-iodobenzene,"dicyclohexyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","methyl 1,2-oxazole-5-carboxylate","2-tert-butyl-1,1,3,3-tetramethylguanidine",8.121165956
N-(4-methoxyphenyl)-4-methylaniline,1-bromo-4-methoxybenzene,"bis(1-adamantyl)-[3,6-dimethoxy-2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","methyl 5-thiophen-2-yl-1,2-oxazole-3-carboxylate",N-[dimethylamino-ethylimino-[[tris(dimethylamino)-lambda5-phosphanylidene]amino]-lambda5-phosphanyl]-N-methylmethanamine,27.61595801
N-(4-methoxyphenyl)-4-methylaniline,1-bromo-4-methoxybenzene,"dicyclohexyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","ethyl 5-methyl-1,2-oxazole-4-carboxylate","2-tert-butyl-1,1,3,3-tetramethylguanidine",0.602239969
N-(4-methoxyphenyl)-4-methylaniline,1-chloro-4-methoxybenzene,"ditert-butyl-[3,6-dimethoxy-2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","ethyl 5-methyl-1,2-oxazole-4-carboxylate",N-[dimethylamino-ethylimino-[[tris(dimethylamino)-lambda5-phosphanylidene]amino]-lambda5-phosphanyl]-N-methylmethanamine,1.03540736
N-(4-methoxyphenyl)-4-methylaniline,1-chloro-4-methoxybenzene,"dicyclohexyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","3,5-dimethyl-1,2-oxazole",N-[dimethylamino-ethylimino-[[tris(dimethylamino)-lambda5-phosphanylidene]amino]-lambda5-phosphanyl]-N-methylmethanamine,1.208332351
N-(4-methoxyphenyl)-4-methylaniline,1-chloro-4-methoxybenzene,"bis(1-adamantyl)-[3,6-dimethoxy-2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane",c1ccc(CN(Cc2ccccc2)c2ccon2)cc1,N-[dimethylamino-ethylimino-[[tris(dimethylamino)-lambda5-phosphanylidene]amino]-lambda5-phosphanyl]-N-methylmethanamine,6.970567232
N-(4-methoxyphenyl)-4-methylaniline,1-iodo-4-methoxybenzene,"dicyclohexyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane","5-(2,6-difluorophenyl)-1,2-oxazole","2-tert-butyl-1,1,3,3-tetramethylguanidine",4.296191189
N-(4-methoxyphenyl)-4-methylaniline,1-iodo-4-methoxybenzene,"dicyclohexyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane",c1ccc(CN(Cc2ccccc2)c2ccno2)cc1,"2-tert-butyl-1,1,3,3-tetramethylguanidine",1.624624313
