Base,Ligand,Solvent,Concentration_M,Temp_C,Yield
KOAc,PPhMe2,BuOAc,0.0570,90,0.0
KOPiv,JackiePhos,DMAc,0.0570,90,7.12
KOPiv,BrettPhos,p-Xylene,0.1530,120,49.57
CsOPiv,CgMe-PPh,BuCN,0.0570,90,43.22
CsOAc,PPhMe2,DMAc,0.0570,105,0.0
KOAc,CgMe-PPh,BuOAc,0.1000,90,14.83
CsOAc,P(fur)3,BuOAc,0.0570,120,12.14
CsOAc,tBPh-CPhos,DMAc,0.0570,105,42.43
CsOAc,GorlosPhos HBF4,BuCN,0.1530,120,36.46
CsOAc,GorlosPhos HBF4,BuCN,0.1000,105,33.34
CsOAc,P(fur)3,DMAc,0.0570,120,78.6
CsOAc,GorlosPhos HBF4,BuOAc,0.1530,120,23.3
KOPiv,P(fur)3,DMAc,0.1000,105,73.59
KOPiv,BrettPhos,p-Xylene,0.1000,105,29.17
CsOAc,CgMe-PPh,BuCN,0.0570,120,50.74
CsOPiv,CgMe-PPh,p-Xylene,0.1530,120,19.13
CsOPiv,X-Phos,BuCN,0.0570,120,31.51
KOPiv,BrettPhos,BuOAc,0.0570,105,48.88
KOAc,PCy3 HBF4,p-Xylene,0.1530,90,0.0
CsOAc,PPh2Me,DMAc,0.1530,90,3.61
CsOPiv,PPh3,BuOAc,0.1000,105,0.91
KOAc,X-Phos,BuCN,0.1000,105,47.3
KOAc,CgMe-PPh,DMAc,0.1530,105,87.0
CsOPiv,PCy3 HBF4,BuOAc,0.1000,105,0.0
KOAc,CgMe-PPh,p-Xylene,0.0570,90,8.45
KOPiv,PPhMe2,BuCN,0.1530,120,0.0
KOPiv,CgMe-PPh,DMAc,0.1530,90,61.09
CsOPiv,CgMe-PPh,DMAc,0.0570,105,91.06
KOPiv,GorlosPhos HBF4,p-Xylene,0.0570,105,24.06
KOPiv,CgMe-PPh,BuOAc,0.0570,120,33.69
CsOAc,X-Phos,BuOAc,0.0570,90,61.71
CsOPiv,JackiePhos,BuCN,0.0570,105,10.68
CsOAc,X-Phos,p-Xylene,0.1000,90,59.27
CsOPiv,X-Phos,p-Xylene,0.0570,90,34.98
KOPiv,PPhtBu2,BuCN,0.0570,105,0.0
CsOPiv,X-Phos,BuCN,0.1000,120,59.81
CsOPiv,PPhMe2,p-Xylene,0.1530,90,0.0
KOPiv,BrettPhos,BuOAc,0.0570,90,61.94
CsOAc,X-Phos,BuOAc,0.1000,105,86.43
KOPiv,JackiePhos,p-Xylene,0.0570,90,7.25
CsOAc,CgMe-PPh,p-Xylene,0.1530,105,80.69
KOAc,PPhMe2,p-Xylene,0.0570,90,0.0
KOPiv,P(fur)3,BuCN,0.1530,120,53.11
CsOAc,PPh3,BuCN,0.1530,120,19.64
CsOPiv,PPh2Me,p-Xylene,0.0570,105,0.0
CsOPiv,PCy3 HBF4,DMAc,0.0570,105,11.52
KOAc,CgMe-PPh,BuCN,0.1530,120,80.86
CsOAc,JackiePhos,DMAc,0.0570,120,81.48
KOAc,JackiePhos,BuCN,0.1000,120,20.08
KOPiv,tBPh-CPhos,p-Xylene,0.0570,105,21.43
KOAc,PCy3 HBF4,p-Xylene,0.1530,120,0.0
KOPiv,BrettPhos,BuCN,0.1000,105,56.05
KOPiv,CgMe-PPh,BuOAc,0.0570,90,17.63
CsOPiv,PPhtBu2,DMAc,0.1530,120,0.0
KOAc,PCy3 HBF4,BuCN,0.0570,105,0.0
KOPiv,GorlosPhos HBF4,DMAc,0.1000,105,38.15
KOAc,PCy3 HBF4,DMAc,0.1000,90,1.71
CsOPiv,GorlosPhos HBF4,BuCN,0.0570,105,46.17
KOPiv,BrettPhos,DMAc,0.0570,120,0.0
KOAc,PPh3,BuCN,0.1000,120,12.65
KOPiv,X-Phos,BuOAc,0.1000,120,66.49
CsOAc,CgMe-PPh,BuCN,0.0570,105,67.85
CsOPiv,X-Phos,BuOAc,0.0570,120,22.87
KOAc,PPh2Me,BuOAc,0.0570,120,0.0
CsOAc,BrettPhos,p-Xylene,0.1530,90,41.03
KOAc,PPh2Me,BuCN,0.1530,120,0.0
CsOPiv,PPhtBu2,BuCN,0.0570,90,0.0
CsOAc,X-Phos,DMAc,0.0570,120,88.41
KOAc,PCy3 HBF4,BuOAc,0.0570,90,0.0
KOPiv,tBPh-CPhos,BuCN,0.1000,105,6.39
CsOAc,GorlosPhos HBF4,BuOAc,0.1000,120,29.75
KOAc,GorlosPhos HBF4,p-Xylene,0.1530,105,0.83
CsOPiv,JackiePhos,BuCN,0.0570,90,11.65
KOAc,BrettPhos,p-Xylene,0.0570,120,8.69
KOAc,PPhMe2,DMAc,0.1000,90,0.0
CsOPiv,P(fur)3,BuCN,0.0570,120,23.81
CsOPiv,PCy3 HBF4,BuOAc,0.0570,105,0.0
KOPiv,X-Phos,p-Xylene,0.1000,120,44.74
CsOAc,BrettPhos,BuCN,0.0570,90,36.72
CsOPiv,tBPh-CPhos,BuCN,0.1000,105,5.41
CsOAc,CgMe-PPh,DMAc,0.1000,105,83.25
CsOAc,tBPh-CPhos,DMAc,0.1530,120,32.21
CsOPiv,PPh3,BuCN,0.0570,120,9.46
KOAc,PPhtBu2,p-Xylene,0.1530,120,0.0
KOPiv,X-Phos,BuOAc,0.1000,105,48.25
KOAc,CgMe-PPh,BuCN,0.1000,90,16.04
CsOPiv,PPhtBu2,BuOAc,0.1000,120,0.0
CsOPiv,PCy3 HBF4,BuCN,0.1530,120,3.33
CsOAc,X-Phos,BuCN,0.1530,90,0.0
CsOPiv,PPhMe2,DMAc,0.0570,90,0.0
KOAc,GorlosPhos HBF4,BuOAc,0.0570,120,0.0
KOPiv,BrettPhos,p-Xylene,0.1000,120,37.36
